#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Regione_Fornitore,Convenzione,Lotto,Valore_economico_consumi,Numero_Ordini,N_PA,N_PO
"2018","COMUNI","FRIULI VENEZIA GIULIA","LOMBARDIA","GAS NATURALE 9","EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA","1895847,93","98","72","73"
"2018","COMUNI","FRIULI VENEZIA GIULIA","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","39499,79","46","44","46"
"2018","COMUNI","LAZIO","EMILIA ROMAGNA","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - LAZIO, ABRUZZO, MOLISE","442590,83","103","31","36"
"2018","COMUNI","LAZIO","EMILIA ROMAGNA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; GASOLIO DA RISCALDAMENTO ?ARTICO?- LAZIO, ABRUZZO","293082,1","53","33","35"
"2018","COMUNI","MARCHE","EMILIA ROMAGNA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; GASOLIO DA RISCALDAMENTO ?ARTICO? - MARCHE, TOSCANA, UMBRIA","63789","22","15","15"
"2018","COMUNI","MOLISE","EMILIA ROMAGNA","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - LAZIO, ABRUZZO, MOLISE","13748,66","5","3","3"
"2018","COMUNI","PUGLIA","EMILIA ROMAGNA","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - CAMPANIA, PUGLIA, BASILICATA","766657,17","180","51","57"
"2018","COMUNI","UMBRIA","EMILIA ROMAGNA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; GASOLIO DA RISCALDAMENTO ?ARTICO? - MARCHE, TOSCANA, UMBRIA","36431,41","12","11","11"
"2018","COMUNI","VENETO","EMILIA ROMAGNA","GAS NATURALE 8","EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA","1002503,94","41","39","39"
"2018","COMUNI","VENETO","EMILIA ROMAGNA","GAS NATURALE 10","EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA ","1464754,45","121","112","114"
"2018","COMUNI","ABRUZZO","EMILIA ROMAGNA","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - LAZIO, ABRUZZO, MOLISE","14443,44","3","2","2"
"2018","COMUNI","ABRUZZO","EMILIA ROMAGNA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; GASOLIO DA RISCALDAMENTO ?ARTICO?- LAZIO, ABRUZZO","8336,02","3","1","1"
"2018","COMUNI","TOSCANA","EMILIA ROMAGNA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; GASOLIO DA RISCALDAMENTO ?ARTICO? - MARCHE, TOSCANA, UMBRIA","284439,5","87","48","49"
"2018","COMUNI","CALABRIA","EMILIA ROMAGNA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; [SE OFFERTO - GASOLIO DA RISCALDAMENTO ?ARTICO?] - CAMPANIA, BASILICATA, CALABRIA ","192585,89","62","55","55"
"2018","COMUNI","CAMPANIA","EMILIA ROMAGNA","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - CAMPANIA, PUGLIA, BASILICATA","921632,88","210","83","85"
"2018","COMUNI","CAMPANIA","EMILIA ROMAGNA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; [SE OFFERTO - GASOLIO DA RISCALDAMENTO ?ARTICO?] - CAMPANIA, BASILICATA, CALABRIA ","467660,11","106","75","77"
"2018","COMUNI","LOMBARDIA","EMILIA ROMAGNA","GAS NATURALE 8","LOMBARDIA, TRENTINO ALTO ADIGE","1779464,36","79","74","74"
"2018","COMUNI","LOMBARDIA","EMILIA ROMAGNA","GAS NATURALE 10","LOMBARDIA, TRENTINO ALTO ADIGE","5216386,71","323","303","304"
"2018","COMUNI","LOMBARDIA","EMILIA ROMAGNA","GAS NATURALE 10","EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA ","21765,44","1","1","1"
"2018","COMUNI","BASILICATA","EMILIA ROMAGNA","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - CAMPANIA, PUGLIA, BASILICATA","1303,37","1","1","1"
"2018","COMUNI","BASILICATA","EMILIA ROMAGNA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; [SE OFFERTO - GASOLIO DA RISCALDAMENTO ?ARTICO?] - CAMPANIA, BASILICATA, CALABRIA ","20647,87","2","2","2"
"2018","COMUNI","EMILIA ROMAGNA","EMILIA ROMAGNA","GAS NATURALE 8","EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA","160609,37","22","22","22"
