#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Regione_Fornitore,Accordo_Quadro,Lotto,Bene_Servizio,Codice_CPV,Descrizione_CPV,Valore_economico_ordini,N_Ordini,N_PA,N_PO
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","TRENTINO ALTO ADIGE","LOMBARDIA","AQ FARMACI BIOLOGICI 1","EPOETINA","PRODOTTI FARMACEUTICI","33600000-6","PRODOTTI FARMACEUTICI","42960","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","TRENTINO ALTO ADIGE","LOMBARDIA","AQ FARMACI BIOLOGICI 1","FILGRASTIM","PRODOTTI FARMACEUTICI","33600000-6","PRODOTTI FARMACEUTICI","1326,62","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","TRENTINO ALTO ADIGE","LOMBARDIA","AQ FARMACI BIOLOGICI 1","FOLLITROPINA ALFA","PRODOTTI FARMACEUTICI","33600000-6","PRODOTTI FARMACEUTICI","70342,92","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ PACEMAKER 1","PACEMAKER BICAMERALI STANDARD","STIMOLATORI CARDIACI","33182210-4","STIMOLATORI CARDIACI","146000","5","2","2"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ PACEMAKER 1","PACEMAKER MONOCAMERALI STANDARD","STIMOLATORI CARDIACI","33182210-4","STIMOLATORI CARDIACI","103350","6","2","2"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ PACEMAKER 1","PACEMAKER BICAMERALI FUNZIONI AVANZATE","STIMOLATORI CARDIACI","33182210-4","STIMOLATORI CARDIACI","550560","8","2","2"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ PACEMAKER 1","PACEMAKER MONOCAMERALI FUNZIONI AVANZATE","STIMOLATORI CARDIACI","33182210-4","STIMOLATORI CARDIACI","186600","6","2","2"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ PACEMAKER 1","PACEMAKER BICAMERALI FUNZIONI AVANZATE CON ALGORITMI DEDICATI","STIMOLATORI CARDIACI","33182210-4","STIMOLATORI CARDIACI","89300","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","29801,4","3","2","2"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","133512,04","3","2","2"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","2900,96","2","2","2"
