#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Provincia_PA,Sigla_provincia_PA,Regione_Fornitore,Convenzione,Lotto,bene_servizio,codice_CPV,descrizione_CPV,Numero_Ordini,Importo_Ordinato,N_PA,N_fornitori,N_PO
"2020","CAMERE DI COMMERCIO","SICILIA","AGRIGENTO","AG","LAZIO","ENERGIA ELETTRICA 17","SICILIA","ENERGIA ELETTRICA","65300000-6","EROGAZIONE DI ENERGIA ELETTRICA E SERVIZI CONNESSI","1","0","1","1","1"
"2020","CAMERE DI COMMERCIO","TOSCANA","PISA","PI","LAZIO","BUONI PASTO 8","TOSCANA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","1","39340","1","1","1"
"2020","CAMERE DI COMMERCIO","TOSCANA","AREZZO","AR","LAZIO","BUONI PASTO 8","TOSCANA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","1","22480","1","1","1"
"2020","CAMERE DI COMMERCIO","TOSCANA","LUCCA","LU","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A/4 B/N","STAMPANTI LASER/LED","30232110-8","STAMPANTI LASER","1","872,28","1","1","1"
"2020","CAMERE DI COMMERCIO","TOSCANA","PISTOIA","PT","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A/4 B/N","STAMPANTI LASER/LED","30232110-8","STAMPANTI LASER","1","290,76","1","1","1"
"2020","CAMERE DI COMMERCIO","TOSCANA","LUCCA","LU","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A/4 B/N","SERVIZI OPZIONALI PER ICT","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","162","1","1","1"
"2020","CAMERE DI COMMERCIO","TOSCANA","PISTOIA","PT","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A/4 B/N","SERVIZI OPZIONALI PER ICT","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","0","1","1","1"
"2020","CAMERE DI COMMERCIO","TOSCANA","LUCCA","LU","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A/4 B/N","BENI OPZIONALI PER STAMPANTI","30124000-4","PARTI E ACCESSORI DI MACCHINE PER UFFICIO","1","470","1","1","1"
"2020","CAMERE DI COMMERCIO","CALABRIA","REGGIO DI CALABRIA","RC","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A3/A4 A COLORI","STAMPANTI LASER/LED","30232110-8","STAMPANTI LASER","1","570,28","1","1","1"
"2020","CAMERE DI COMMERCIO","CALABRIA","REGGIO DI CALABRIA","RC","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A3/A4 A COLORI","SERVIZI OPZIONALI PER ICT","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","26,4","1","1","1"
