#Anno_Riferimento,Tipologia_Amministrazione,Regione_Fornitore,Regione_PA,Tipo_Negoziazione,N_negoziazioni_stipulate,N_Contratti_Stipulati,Valore_Base_Asta,Perc_negoziazioni_base_asta_valorizzata,Valore_contratti_stipulati,N_Medio_Fornitori_Partecipanti,N_Fornitori_con_contratti_stipulati,N_PA_Appaltanti,N_PO,Durata_media_negoziazione,Tempi_Medi_Stipula
"2018","CAMERE DI COMMERCIO","FRIULI VENEZIA GIULIA","EMILIA ROMAGNA","TD","1","1","409","100","360","1","1","1","1","6","0"
"2018","CAMERE DI COMMERCIO","LAZIO","TRENTINO ALTO ADIGE","TD","5","5","26100","60","46760","1","2","2","2","28,6","0"
"2018","CAMERE DI COMMERCIO","MARCHE","TRENTINO ALTO ADIGE","TD","2","2","2800","50","5824,01","1","1","1","1","50","0"
"2018","CAMERE DI COMMERCIO","PUGLIA","TRENTINO ALTO ADIGE","TD","1","1","4500","100","4500","1","1","1","1","14","0"
"2018","CAMERE DI COMMERCIO","UMBRIA","TRENTINO ALTO ADIGE","TD","1","1","2729","100","2729","1","1","1","1","18","0"
"2018","CAMERE DI COMMERCIO","LOMBARDIA","TRENTINO ALTO ADIGE","TD","1","1",,"0","1476","1","1","1","1","24","0"
"2018","CAMERE DI COMMERCIO","EMILIA ROMAGNA","TRENTINO ALTO ADIGE","TD","1","1","1500","100","1500","1","1","1","1","19","0"
"2018","CAMERE DI COMMERCIO","TRENTINO ALTO ADIGE","TRENTINO ALTO ADIGE","TD","4","4",,"0","39440","1","3","1","2","41","0"
"2018","CAMERE DI COMMERCIO","LAZIO","FRIULI VENEZIA GIULIA","TD","7","7",,"0","11142,15","1","4","1","2","35,14","0"
"2018","CAMERE DI COMMERCIO","VENETO","FRIULI VENEZIA GIULIA","TD","6","6","28855,39","50","54054,95","1","5","2","3","13,67","0"
"2018","CAMERE DI COMMERCIO","LIGURIA","FRIULI VENEZIA GIULIA","TD","2","2","4098,36","50","7348,36","1","2","2","2","4,5","0"
"2018","CAMERE DI COMMERCIO","TOSCANA","FRIULI VENEZIA GIULIA","TD","1","1","8196,72","100","8195","1","1","1","1","21","0"
"2018","CAMERE DI COMMERCIO","PIEMONTE","FRIULI VENEZIA GIULIA","TD","2","2",,"0","50960","1","1","1","1","27,5","0"
"2018","CAMERE DI COMMERCIO","LOMBARDIA","FRIULI VENEZIA GIULIA","TD","12","12","1856,7","16,67","66436,32","1","11","3","4","23","0"
"2018","CAMERE DI COMMERCIO","EMILIA ROMAGNA","FRIULI VENEZIA GIULIA","TD","8","8",,"0","72707,55","1","7","2","3","10,88","0"
"2018","CAMERE DI COMMERCIO","FRIULI VENEZIA GIULIA","FRIULI VENEZIA GIULIA","TD","66","66","84532,01","45,45","196095,59","1","42","3","4","11,77","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","LAZIO","TD","120","120","2500","1,67","191593,07","1","42","4","4","3,69","0"
"2018","CONSERVATORI E ACCADEMIE","MARCHE","LAZIO","TD","1","1",,"0","2130","1","1","1","1","7","0"
"2018","CONSERVATORI E ACCADEMIE","PUGLIA","LAZIO","TD","1","1",,"0","685,24","1","1","1","1","2","0"
"2018","CONSERVATORI E ACCADEMIE","UMBRIA","LAZIO","TD","7","7",,"0","15480","1","4","1","1","1,57","0"
"2018","CONSERVATORI E ACCADEMIE","VENETO","LAZIO","TD","3","3",,"0","13628,77","1","1","1","1","2","0"
"2018","CONSERVATORI E ACCADEMIE","TOSCANA","LAZIO","TD","2","2",,"0","5570","1","1","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","CAMPANIA","LAZIO","TD","2","2",,"0","7296","1","2","1","1","2,5","0"
"2018","CONSERVATORI E ACCADEMIE","LOMBARDIA","LAZIO","TD","20","20",,"0","11442,48","1","2","1","1","3,6","0"
"2018","CONSERVATORI E ACCADEMIE","EMILIA ROMAGNA","LAZIO","TD","3","3",,"0","3919,89","1","2","2","2","4","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","MARCHE","TD","2","2","8298,35","100","7773,35","1","2","2","2","2,5","0"
"2018","CONSERVATORI E ACCADEMIE","MARCHE","MARCHE","TD","48","48","93848,87","85,42","83870,08","1","21","3","3","5,15","0"
"2018","CONSERVATORI E ACCADEMIE","CAMPANIA","MARCHE","TD","1","1","1500","100","1100","1","1","1","1","4","0"
"2018","CONSERVATORI E ACCADEMIE","LOMBARDIA","MARCHE","TD","3","3","8105,5","100","8105,5","1","2","1","1","5,67","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","PUGLIA","TD","2","2","9500","50","12612,06","1","2","2","2","9,5","0"
"2018","CONSERVATORI E ACCADEMIE","PUGLIA","PUGLIA","TD","16","16","16350","18,75","78312,26","1","14","4","5","6,69","0"
"2018","CONSERVATORI E ACCADEMIE","TOSCANA","PUGLIA","TD","1","1",,"0","18839","1","1","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","LOMBARDIA","PUGLIA","TD","1","1",,"0","7217,86","1","1","1","1","8","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","UMBRIA","TD","1","1","23460","100","23460","1","1","1","1","6","0"
"2018","CONSERVATORI E ACCADEMIE","UMBRIA","UMBRIA","TD","4","4","984","25","1802,25","1","4","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","VENETO","TD","1","1",,"0","220,27","1","1","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","PUGLIA","VENETO","TD","1","1",,"0","271,96","1","1","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","VENETO","VENETO","TD","16","16","55725","18,75","171206,8","1","15","4","5","8,25","0"
"2018","CONSERVATORI E ACCADEMIE","TOSCANA","VENETO","TD","2","2",,"0","2911,5","1","2","2","2","6,5","0"
"2018","CONSERVATORI E ACCADEMIE","CAMPANIA","VENETO","TD","1","1",,"0","1650","1","1","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","LOMBARDIA","VENETO","TD","5","5","10000","20","19675,7","1","5","2","2","23,2","0"
"2018","CONSERVATORI E ACCADEMIE","EMILIA ROMAGNA","VENETO","TD","2","2",,"0","7443,8","1","2","2","2","10","0"
"2018","CONSERVATORI E ACCADEMIE","TRENTINO ALTO ADIGE","VENETO","TD","6","6",,"0","62700","1","1","6","6","12,5","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","ABRUZZO","TD","4","4","3000","25","26985,28","1","3","2","2","7,25","0"
"2018","CONSERVATORI E ACCADEMIE","MARCHE","ABRUZZO","TD","4","4",,"0","4168,25","1","2","2","2","4,75","0"
"2018","CONSERVATORI E ACCADEMIE","VENETO","ABRUZZO","TD","1","1",,"0","1417,9","1","1","1","1","7","0"
"2018","CONSERVATORI E ACCADEMIE","ABRUZZO","ABRUZZO","TD","10","10","3640","50","27252,9","1","8","2","2","6","0"
"2018","CONSERVATORI E ACCADEMIE","LIGURIA","ABRUZZO","TD","1","1","1000","100","1464","1","1","1","1","16","0"
"2018","CONSERVATORI E ACCADEMIE","PIEMONTE","ABRUZZO","TD","2","2",,"0","26259,83","1","2","1","1","6,5","0"
"2018","CONSERVATORI E ACCADEMIE","LOMBARDIA","ABRUZZO","TD","2","2",,"0","11004","1","1","1","1","4","0"
"2018","CONSERVATORI E ACCADEMIE","EMILIA ROMAGNA","ABRUZZO","TD","1","1",,"0","9672","1","1","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","LIGURIA","TD","2","2","19776,96","50","40179,36","1","1","2","2","30","0"
"2018","CONSERVATORI E ACCADEMIE","LIGURIA","LIGURIA","TD","4","4","8200","100","8138","1","4","1","1","8,25","0"
"2018","CONSERVATORI E ACCADEMIE","TOSCANA","LIGURIA","TD","1","1",,"0","902,44","1","1","1","1","2","0"
"2018","CONSERVATORI E ACCADEMIE","PIEMONTE","LIGURIA","TD","2","2","964,6","100","964,6","1","1","1","1","2,5","0"
"2018","CONSERVATORI E ACCADEMIE","SICILIA","SICILIA","TD","20","20","11800","10","71671,88","1","14","4","4","6,4","0"
"2018","CONSERVATORI E ACCADEMIE","CAMPANIA","SICILIA","TD","1","1",,"0","1833,4","1","1","1","1","1","0"
"2018","CONSERVATORI E ACCADEMIE","LOMBARDIA","SICILIA","TD","1","1",,"0","4737","1","1","1","1","4","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","TOSCANA","TD","3","3","1720,44","33,33","10010,44","1","3","3","3","6,67","0"
"2018","CONSERVATORI E ACCADEMIE","PUGLIA","TOSCANA","TD","3","3","700","33,33","7237,62","1","3","3","3","17,33","0"
"2018","CONSERVATORI E ACCADEMIE","VENETO","TOSCANA","TD","2","2",,"0","9679,12","1","2","1","2","6,5","0"
"2018","CONSERVATORI E ACCADEMIE","TOSCANA","TOSCANA","TD","70","70","93478","22,86","363594,54","1","46","5","7","8,31","0"
"2018","CONSERVATORI E ACCADEMIE","PIEMONTE","TOSCANA","TD","2","2",,"0","1495,51","1","1","2","2","6,5","0"
"2018","CONSERVATORI E ACCADEMIE","LOMBARDIA","TOSCANA","TD","11","11","17770","45,45","30877,93","1","6","4","4","6,91","0"
"2018","CONSERVATORI E ACCADEMIE","EMILIA ROMAGNA","TOSCANA","TD","2","2",,"0","3169,6","1","2","1","2","7,5","0"
"2018","CONSERVATORI E ACCADEMIE","TRENTINO ALTO ADIGE","TOSCANA","TD","1","1",,"0","13300","1","1","1","1","6","0"
"2018","CONSERVATORI E ACCADEMIE","PUGLIA","CALABRIA","TD","2","2",,"0","2941,78","1","1","1","1","3","0"
"2018","CONSERVATORI E ACCADEMIE","VENETO","CALABRIA","TD","2","2","4700","100","4200,18","1","1","1","1","6","0"
"2018","CONSERVATORI E ACCADEMIE","CALABRIA","CALABRIA","TD","31","31","1300","3,23","128916,12","1","14","3","3","4,77","0"
"2018","CONSERVATORI E ACCADEMIE","PIEMONTE","CALABRIA","TD","1","1",,"0","1200","1","1","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","CAMPANIA","TD","1","1",,"0","3260","1","1","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","LIGURIA","CAMPANIA","TD","1","1","150","100","150","1","1","1","1","7","0"
"2018","CONSERVATORI E ACCADEMIE","CAMPANIA","CAMPANIA","TD","47","47","41270","38,3","98190,81","1","29","4","4","5,7","0"
"2018","CONSERVATORI E ACCADEMIE","LAZIO","PIEMONTE","TD","3","3",,"0","17955,26","1","3","2","2","10","0"
"2018","CONSERVATORI E ACCADEMIE","VENETO","PIEMONTE","TD","1","1",,"0","290,1","1","1","1","1","5","0"
"2018","CONSERVATORI E ACCADEMIE","TOSCANA","PIEMONTE","TD","1","1",,"0","611,75","1","1","1","1","15","0"
"2018","CONSERVATORI E ACCADEMIE","PIEMONTE","PIEMONTE","TD","25","25","11030","12","51886,93","1","16","3","3","10","0"
"2018","CONSERVATORI E ACCADEMIE","LOMBARDIA","PIEMONTE","TD","8","8",,"0","5908,89","1","7","3","3","6","0"
"2018","CONSERVATORI E ACCADEMIE","EMILIA ROMAGNA","PIEMONTE","TD","1","1",,"0","2180","1","1","1","1","7","0"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","CALABRIA","TD","1","1",,"0","6587,5","1","1","1","1","10","0"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","CALABRIA","CALABRIA","TD","4","4","12800","25","44253,5","1","4","2","2","43,5","0"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LOMBARDIA","CALABRIA","TD","2","2",,"0","32050","1","2","1","1","84","0"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","CAMPANIA","CAMPANIA","TD","1","1",,"0","2630,4","1","1","1","1","2","0"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","VENETO","PIEMONTE","TD","1","1",,"0","37428","1","1","1","1","28","0"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","PIEMONTE","PIEMONTE","TD","2","2","1350","100","1350","1","2","1","1","8,5","0"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","ABRUZZO","SARDEGNA","TD","3","3","19488,37","100","19527,68","1","1","1","1","9","0"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","SICILIA","SARDEGNA","TD","1","1","1750","100","2695","1","1","1","1","40","0"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","TOSCANA","SARDEGNA","TD","1","1",,"0","1642,5","1","1","1","1","41","0"
