#Anno_Riferimento,Tipologia_Amministrazione,Regione_Fornitore,Regione_PA,Provincia_PA,Sigla_provincia_PA,Tipo_Negoziazione,N_negoziazioni_stipulate,N_Contratti_Stipulati,Valore_Base_Asta,Perc_negoziazioni_base_asta_valorizzata,Valore_contratti_stipulati,N_Medio_Fornitori_Partecipanti,N_Fornitori_con_contratti_stipulati,N_PA_Appaltanti,N_PO,Durata_media_negoziazione,Tempi_Medi_Stipula
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","EMILIA ROMAGNA","BOLOGNA","BO","RdO","27","31","1073254,14",,"900449,52","3,77","24","5","9","67,94","9,39"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","EMILIA ROMAGNA","FERRARA","FE","RdO","3","3","19850",,"11915","4,67","2","1","1","36,33","17,67"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","EMILIA ROMAGNA","PARMA","PR","RdO","2","5","22070",,"21870","3","2","1","1","29,6","6,4"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","BASILICATA","EMILIA ROMAGNA","BOLOGNA","BO","RdO","1","1","23000",,"16753,2","8","1","1","1","113","44"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","SAN MARINO","EMILIA ROMAGNA","BOLOGNA","BO","RdO","1","1","3162,5",,"2863,5","2","1","1","1","13","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","BOLOGNA","BO","RdO","44","45","2636216,22",,"2445124,04","2,11","37","7","13","69,09","9,22"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","FERRARA","FE","RdO","14","14","170007,92",,"133749,12","2,5","11","2","3","23,5","1"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","MODENA","MO","RdO","15","32","481616,74",,"474532,95","1,34","20","5","8","89,63","55,31"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","PIACENZA","PC","RdO","1","1","57692,3",,"57060","1","1","1","1","89","14"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","PARMA","PR","RdO","19","20","928255,3",,"779727,51","2,3","18","10","10","37","6,65"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","REGGIO NELL'EMILIA","RE","RdO","11","11","344525,24",,"288829,38","2,09","10","2","2","32,36","0,09"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","RIMINI","RN","RdO","3","3","170000",,"106934,5","4,33","3","2","2","36","6,67"
