#Anno_Riferimento,Tipologia_Amministrazione,AQ,Lotto,Regione_PA,Durata_media_fornitura,Valore_economico_Base_Asta,N_PA_Appaltanti,N_PO,N_AS_Pubblicati
"2018","COMUNI","FLEET MANAGEMENT","LOTTO UNICO","SARDEGNA","0","88960","1","1","1"
"2018","COMUNI","RASSEGNA STAMPA","LOTTO UNICO - SERVIZI DI RASSEGNA STAMPA","LOMBARDIA","12","39800","1","1","2"
"2018","COMUNI","SERVIZI APPLICATIVI","LOTTO 2 - NORD ITALIA","LOMBARDIA","0","20798989,58","1","1","2"
"2018","COMUNI","FLEET MANAGEMENT","LOTTO UNICO","FRIULI VENEZIA GIULIA","36","85674","1","1","1"
"2018","REGIONI","SERVIZI DI SYSTEM MANAGEMENT","LOTTO UNICO - SERVIZI DI SYSTEM MANAGEMENT","CAMPANIA","30","6894325","1","1","1"
"2018","CAMERE DI COMMERCIO","SERVIZI APPLICATIVI","LOTTO 2 - NORD ITALIA","LAZIO","0","5504917,25","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","RASSEGNA STAMPA","LOTTO UNICO - SERVIZI DI RASSEGNA STAMPA","LAZIO","5,6","1275437,8","2","2","15"
"2018","MINISTERI E AGENZIE FISCALI","SERVIZI DI SYSTEM MANAGEMENT","LOTTO UNICO - SERVIZI DI SYSTEM MANAGEMENT","LAZIO","31","2425099,4","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","FLEET MANAGEMENT","LOTTO UNICO","EMILIA ROMAGNA","36","1031784","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","SERVIZI DI SYSTEM MANAGEMENT","LOTTO UNICO - SERVIZI DI SYSTEM MANAGEMENT","LAZIO","60","2700000","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FLEET MANAGEMENT","LOTTO UNICO","PUGLIA","0","274079","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SERVIZI DI SYSTEM MANAGEMENT","LOTTO UNICO - SERVIZI DI SYSTEM MANAGEMENT","VENETO","36","2068830,06","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FLEET MANAGEMENT","LOTTO UNICO","SICILIA","0","139202","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FLEET MANAGEMENT","LOTTO UNICO","LOMBARDIA","0","717135,22","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SERVIZI APPLICATIVI","LOTTO 2 - NORD ITALIA","LOMBARDIA","0","406110,4","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FLEET MANAGEMENT","LOTTO UNICO","EMILIA ROMAGNA","0","440144","1","1","1"
"2018","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","SERVIZI DI GESTIONE INTEGRATA DELLE TRASFERTE DI LAVORO - EDIZIONE 2","LOTTO UNICO - SERVIZI DI GESTIONE INTEGRATA DELLE TRASFERTE DI LAVORO","LAZIO","24","175813,5","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","SERVIZI APPLICATIVI","LOTTO 3 - SUD ITALIA E ISOLE","PUGLIA","0","772304,96","1","1","2"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","SERVIZI APPLICATIVI","LOTTO 2 - NORD ITALIA","LOMBARDIA","12","793183,53","1","1","2"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","FLEET MANAGEMENT","LOTTO UNICO","EMILIA ROMAGNA","0","158920","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","SERVIZI APPLICATIVI","LOTTO 2 - NORD ITALIA","EMILIA ROMAGNA","0","422216,7","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","SERVIZI APPLICATIVI","LOTTO 2 - NORD ITALIA","PIEMONTE","2,57","9305756,12","1","2","7"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","SERVIZI DI SYSTEM MANAGEMENT","LOTTO UNICO - SERVIZI DI SYSTEM MANAGEMENT","PIEMONTE","24","12136604,4","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SERVIZI DI SYSTEM MANAGEMENT","LOTTO UNICO - SERVIZI DI SYSTEM MANAGEMENT","FRIULI VENEZIA GIULIA","60","5511924,38","1","1","1"
