#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Tipo_negoziazione,N_Negoziazioni_Pubblicate,Valore_economico_Base_Asta,Perc_Negoziazioni_base_asta,Perc_RdO_con_invito_selettivo,N_medio_fornitori_invitati,Tempo_medio_offerte,N_PA_Appaltanti,N_PO
"2018","COMUNI","LAZIO","TD","3525","18814258,8","60,51",,,"4,11","260","724"
"2018","COMUNI","MARCHE","TD","4453","21380834,17","64,36",,,"3,7","193","565"
"2018","COMUNI","MOLISE","TD","350","1604157,2","49,71",,,"2,64","88","124"
"2018","COMUNI","PUGLIA","TD","3048","18091125,49","63,02",,,"3,67","222","717"
"2018","COMUNI","UMBRIA","TD","1390","5944664,43","59,28",,,"4,22","83","238"
"2018","COMUNI","VENETO","TD","17217","90300418","57,86",,,"5,53","542","1727"
"2018","COMUNI","ABRUZZO","TD","2269","11552363,61","57,16",,,"3,75","198","435"
"2018","COMUNI","LIGURIA","TD","3415","16258702,27","61,05",,,"4,95","180","482"
"2018","COMUNI","SICILIA","TD","3700","16678638,88","49,92",,,"3,63","332","886"
"2018","COMUNI","TOSCANA","TD","2168","7809717,04","39,16",,,"5","221","523"
"2018","COMUNI","CALABRIA","TD","2539","10900814,97","49,63",,,"3,85","316","666"
"2018","COMUNI","CAMPANIA","TD","4665","38734688,06","62,81",,,"3,91","397","1006"
"2018","COMUNI","PIEMONTE","TD","10678","50052513,76","62,61",,,"5,33","885","1914"
"2018","COMUNI","SARDEGNA","TD","3157","16281089,24","57,27",,,"3,97","337","773"
"2018","COMUNI","LOMBARDIA","TD","5012","15812905,37","44,79",,,"4,57","868","1575"
"2018","COMUNI","BASILICATA","TD","540","2851209,63","56,85",,,"3,07","88","171"
"2018","COMUNI","VALLE D'AOSTA","TD","591","1546726,33","49,75",,,"4,47","66","110"
"2018","COMUNI","EMILIA ROMAGNA","TD","8263","38311351,21","61,91",,,"5,01","304","1101"
"2018","COMUNI","TRENTINO ALTO ADIGE","TD","237","530968,05","41,77",,,"5,31","61","91"
"2018","COMUNI","FRIULI VENEZIA GIULIA","TD","5534","25369769,95","67,33",,,"4,46","211","680"
"2018","REGIONI","LAZIO","TD","50","510339,32","88",,,"4,13","1","10"
"2018","REGIONI","MARCHE","TD","125","2345723,05","78,4",,,"6,58","1","20"
"2018","REGIONI","MOLISE","TD","23","203200,01","69,57",,,"4,08","1","8"
"2018","REGIONI","PUGLIA","TD","2",,"0",,,"0,2","1","1"
"2018","REGIONI","UMBRIA","TD","88","991218,37","84,09",,,"4,09","1","2"
"2018","REGIONI","VENETO","TD","230","2428131,85","66,96",,,"6,26","1","48"
"2018","REGIONI","ABRUZZO","TD","90","919410,41","67,78",,,"4,62","1","20"
"2018","REGIONI","LIGURIA","TD","18","762,21","5,56",,,"9,48","1","2"
"2018","REGIONI","SICILIA","TD","1099","4083936,28","51,41",,,"4,02","1","111"
"2018","REGIONI","TOSCANA","TD","15","218159","86,67",,,"6,11","1","6"
"2018","REGIONI","CALABRIA","TD","116","1683421,95","67,24",,,"3,66","1","25"
"2018","REGIONI","CAMPANIA","TD","167","2612439,37","96,41",,,"3,9","1","5"
"2018","REGIONI","PIEMONTE","TD","211","1653763,4","67,77",,,"7,78","1","23"
"2018","REGIONI","SARDEGNA","TD","24","342397,87","62,5",,,"2,8","1","9"
"2018","REGIONI","LOMBARDIA","TD","2","39000","50",,,"21,54","1","1"
"2018","REGIONI","BASILICATA","TD","43","401182,49","62,79",,,"6,66","1","7"
"2018","REGIONI","VALLE D'AOSTA","TD","488","1124243,85","31,15",,,"6,1","1","32"
"2018","REGIONI","EMILIA ROMAGNA","TD","142","1879480,48","78,17",,,"5,78","1","18"
"2018","REGIONI","TRENTINO ALTO ADIGE","TD","1","7780","100",,,"2,07","1","1"
"2018","REGIONI","FRIULI VENEZIA GIULIA","TD","242","2038859,44","58,26",,,"5,93","1","38"
"2018","PROVINCE","LAZIO","TD","215","2937015,54","63,26",,,"4,31","6","33"
"2018","PROVINCE","MARCHE","TD","198","1346270,71","57,07",,,"5,1","5","24"
"2018","PROVINCE","MOLISE","TD","2","5,29","50",,,"7,65","1","2"
"2018","PROVINCE","PUGLIA","TD","83","1011790,18","78,31",,,"4,38","5","15"
"2018","PROVINCE","UMBRIA","TD","105","335699,17","63,81",,,"4,1","2","13"
"2018","PROVINCE","VENETO","TD","591","3995822,28","67,01",,,"5,5","7","47"
"2018","PROVINCE","ABRUZZO","TD","114","558523,88","45,61",,,"3,95","4","17"
"2018","PROVINCE","LIGURIA","TD","54","174694,15","75,93",,,"7,44","4","9"
"2018","PROVINCE","SICILIA","TD","95","693896,72","66,32",,,"4,65","8","17"
"2018","PROVINCE","TOSCANA","TD","290","2139107,97","70",,,"6,25","10","42"
"2018","PROVINCE","CALABRIA","TD","74","210271,57","33,78",,,"4,13","5","12"
"2018","PROVINCE","CAMPANIA","TD","201","3347077,84","68,66",,,"5,33","5","23"
"2018","PROVINCE","PIEMONTE","TD","575","4122785,18","75,13",,,"4,93","8","46"
"2018","PROVINCE","SARDEGNA","TD","77","835109,92","75,32",,,"5,65","5","16"
"2018","PROVINCE","LOMBARDIA","TD","155","1210382,81","46,45",,,"6,07","12","29"
"2018","PROVINCE","BASILICATA","TD","55","399288,12","89,09",,,"5,43","2","9"
"2018","PROVINCE","EMILIA ROMAGNA","TD","528","3778124,48","68,94",,,"4,68","9","45"
"2018","PROVINCE","TRENTINO ALTO ADIGE","TD","164","127625,26","15,24",,,"5,49","2","6"
"2018","PROVINCE","FRIULI VENEZIA GIULIA","TD","2",,"0",,,"4,05","1","1"
"2018","CAMERE DI COMMERCIO","LAZIO","TD","231","1476448,21","67,97",,,"3,85","10","18"
"2018","CAMERE DI COMMERCIO","MARCHE","TD","24","18805,04","20,83",,,"4,21","1","3"
"2018","CAMERE DI COMMERCIO","MOLISE","TD","5",,"0",,,"1,6","1","1"
"2018","CAMERE DI COMMERCIO","PUGLIA","TD","33","109091,42","75,76",,,"9,11","5","5"
"2018","CAMERE DI COMMERCIO","UMBRIA","TD","72","255996,66","90,28",,,"7,03","4","4"
"2018","CAMERE DI COMMERCIO","VENETO","TD","110","443166,49","71,82",,,"5,08","6","9"
"2018","CAMERE DI COMMERCIO","ABRUZZO","TD","32","200374","71,88",,,"5,1","3","3"
"2018","CAMERE DI COMMERCIO","LIGURIA","TD","35","129014,2","51,43",,,"5,09","4","4"
"2018","CAMERE DI COMMERCIO","SICILIA","TD","25","76865","60",,,"1,16","3","4"
"2018","CAMERE DI COMMERCIO","TOSCANA","TD","149","354093,48","40,94",,,"4,79","12","14"
