#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Bando_SDA,Valore_economico_Base_Asta,Durata_media_fornitura,N_AS_Pubblicati,N_PA_Appaltanti,N_PO
"2018","COMUNI","LAZIO","ARREDI","202450,11","3","1","1","1"
"2018","COMUNI","LAZIO","DERRATE ALIMENTARI","4209229,5","5","3","1","1"
"2018","COMUNI","LAZIO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","9930785,02","31","1","1","1"
"2018","COMUNI","LAZIO","SERVIZI POSTALI, SERVIZI DI CONSEGNA PLICHI E PACCHI TRAMITE CORRIERE E SERVIZI CONNESSI","30328","6","1","1","1"
"2018","COMUNI","MARCHE","DERRATE ALIMENTARI","392382,78","24","1","1","1"
"2018","COMUNI","VENETO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","728000","48","1","1","1"
"2018","COMUNI","VENETO","SERVIZI POSTALI, SERVIZI DI CONSEGNA PLICHI E PACCHI TRAMITE CORRIERE E SERVIZI CONNESSI","12000","12","1","1","1"
"2018","COMUNI","ABRUZZO","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1158029,46","36","2","1","1"
"2018","COMUNI","SICILIA","SERVIZI ASSICURATIVI","360000","24","1","1","1"
"2018","COMUNI","SICILIA","SERVIZI DI RISTORAZIONE","200319","7","1","1","1"
"2018","COMUNI","TOSCANA","DERRATE ALIMENTARI","2412500","28","2","2","2"
"2018","COMUNI","TOSCANA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1793517,8","60","1","1","1"
"2018","COMUNI","CALABRIA","NA","893","12","1","1","1"
"2018","COMUNI","CAMPANIA","BUONI PASTO","410530","23","1","1","1"
"2018","COMUNI","CAMPANIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","2160","36","1","1","1"
"2018","COMUNI","PIEMONTE","ARREDI","39993,8","6","1","1","1"
"2018","COMUNI","PIEMONTE","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","354104,45","36","1","1","1"
"2018","COMUNI","LOMBARDIA","ICT - SDAPA","12112553,99","28,22","9","1","3"
"2018","COMUNI","LOMBARDIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","36007056,95","42","2","2","2"
"2018","COMUNI","FRIULI VENEZIA GIULIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1856205,36","60","1","1","1"
"2018","REGIONI","LAZIO","FARMACI","98741639,26","24","2","1","2"
"2018","REGIONI","MARCHE","ICT - SDAPA","9292311,58","36","4","1","1"
"2018","REGIONI","ABRUZZO","FARMACI","423391593,53","25,2","5","1","1"
"2018","REGIONI","SICILIA","FARMACI","344549993,62","37","3","1","1"
"2018","REGIONI","SARDEGNA","FARMACI","191503082,89","36","1","1","1"
"2018","REGIONI","SARDEGNA","ICT - SDAPA","3216520","28","3","1","1"
"2018","REGIONI","SARDEGNA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","585718,62","12","1","1","1"
"2018","REGIONI","BASILICATA","FARMACI","8557914,31","15","2","1","1"
"2018","REGIONI","BASILICATA","APPARECCHIATURE ELETTROMEDICALI","1665131","48","1","1","1"
"2018","REGIONI","FRIULI VENEZIA GIULIA","FARMACI","275935885,11","27,11","9","1","1"
"2018","PROVINCE","VENETO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","774415,08","36","2","1","1"
"2018","PROVINCE","CAMPANIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","229000","12","1","1","1"
"2018","PROVINCE","PIEMONTE","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1344654,94","36","1","1","1"
"2018","ISTITUTI/ENTI DI RICERCA","LAZIO","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1192274,65","36","1","1","1"
"2018","ASSOCIAZIONI E FONDAZIONI","MARCHE","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","70138,32","36","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","MOLISE","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","9510000","36","4","1","1"
"2018","UNIVERSITA' E POLITECNICI","UMBRIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","900000","48","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","UMBRIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","212199","12","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","VENETO","ARREDI","230000","6","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","VENETO","ICT - SDAPA","441984,7","12","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","VENETO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","687600","36","1","1","1"
