cod_amm	cod_prt_dom	progr_pdd	stato_pdd	ver_pdd
agcom	AutoritaGaranzieComunicazioni	1	Si	1.1
agd	AgenziaDemanio	1	Si	1.1
agdogane	AgenziaDogane	1	Si	1.1
age	AgenziaEntrate	1	Si	1.1
age	CentroServiziFatturaPA	2	Si	1.1
agea	AgenziaErogazioniAgricoltura	1	Si	1.1
agid	DigitPA	1	Si	1.1
agid	NodoDeiPagamentiDellaPA	2	Si	1.1
anla_080	anbsc	1	Si	1.1
APBar	AutoritaPortualediBari	1	Si	1.1
apss	APSSdiTrento	1	-	1.1
APTri	adspmao	1	Si	1.1
as1_LE	ASLLE	1	-	1.1
asl_ba	ASLBA	1	-	1.1
asl_bat	ASLBT	1	-	1.1
asl_br	ASLBR	1	-	1.1
asl_fg	ASLFG	1	-	1.1
asl_vvta	ASLTA	1	-	1.1
avcp	avcp	1	Si	1.1
avvst	Avvocatura	1	Si	1.1
cb369	ComuneCairoMontenotte	1	-	1.1
cbimp_tv	bimpiavetreviso	1	-	1.1
cc	Carabinieri	1	Si	1.1
ccpbosc	ConsorzioComuniProvinciaBolzano	1	Si	1.1
cdc	CorteConti	1	Si	1.1
cmrc	CittaMetropolitanaRoma	1	Si	1.1
cnapm_	CNA	1	Si	1.1
cnocl_rm	CNOCL	1	Si	1.1
cnr	ConsiglioNazionaleDelleRicerche	1	Si	1.1
csspa	ConiServizi	1	Si	1.1
c_a055	comunediadelfia	1	-	1.1
c_a103	ComuneAielloFriuli	1	-	1.1
c_a145	ComuneAlbenga	1	-	1.1
c_a149	ComuneDiAlberobello	1	-	1.1
c_a166	ComuneAlbisolaSuperiore	1	-	1.1
C_A208	comunedialliste	1	-	1.1
c_a254	ComuneAmaro	1	-	1.1
c_a278	ComuneAndora	1	-	1.1
c_a281	comunediandrano	1	-	1.1
c_a283	ComuneAndreis	1	-	1.1
c_a354	ComuneArba	1	-	1.1
c_a425	ComuneDiArnesano	1	-	1.1
c_a447	ComuneArtaTerme	1	-	1.1
c_a448	ComuneArtegna	1	-	1.1
c_a491	ComuneAttimis	1	-	1.1
c_a572	comunedibagnolodelsalento	1	-	1.1
c_a662	comunedibari	1	-	1.1
c_a700	ComuneBasiliano	1	-	1.1
c_a757	ComuneDiBelluno	1	-	1.1
c_a794	ComuneBergamo	1	Si	1.1
c_a810	ComuneBertiolo	1	-	1.1
c_a892	comunedibitetto	1	-	1.1
c_a893	comunedibitonto	1	-	1.1
c_a894	comunedibitritto	1	-	1.1
c_a922	ComuneBogliasco	1	-	1.1
c_a931	ComuneBoissano	1	-	1.1
c_a952	ComuneBolzano	1	Si	1.1
c_a999	ComuneBorghettoSantoSpirito	1	-	1.1
c_b005	ComuneBorgioVerezzi	1	-	1.1
c_b067	ComuneBorzonasca	1	-	1.1
c_b413	ComuneDiCalimera	1	-	1.1
c_b416	ComuneCalizzano	1	-	1.1
c_b506	ComuneDiCampiSalentina	1	-	1.1
c_b551	ComuneCampomorone	1	-	1.1
c_b598	ComuneCaneva	1	-	1.1
c_b690	ComuneDiCapraricaDiLecce	1	-	1.1
c_b716	comunedicapurso	1	-	1.1
c_b792	ComuneDiCarmiano	1	-	1.1
c_b838	ComuneCarro	1	-	1.1
c_b923	comunedicasamassima	1	-	1.1
c_b940	ComuneCasarsaDelizia	1	-	1.1
c_b998	comunedicassanodellemurge	1	-	1.1
c_c134	ComuneDiCastellanaGrotte	1	-	1.1
c_c217	ComuneCastelnovoFriuli	1	-	1.1
c_c240	ComuneCastelnuovoMagra	1	-	1.1
c_c302	ComuneCastiglioneChiavarese	1	-	1.1
c_c334	ComuneDiCastriDiLecce	1	-	1.1
c_c377	ComuneDiCavallino	1	-	1.1
c_c385	ComuneCavassoNuovo	1	-	1.1
c_c436	comunedicellamare	1	-	1.1
c_c510	ComuneCeriale	1	-	1.1
c_c640	ComuneChions	1	-	1.1
c_c722	ComuneCirie	1	Si	1.1
c_c758	ComuneCividaleFriuli	1	-	1.1
c_c791	ComuneClauzetto	1	-	1.1
c_c817	ComuneCodroipo	1	-	1.1
c_c823	ComuneCogoleto	1	-	1.1
c_c975	comunediconversano	1	-	1.1
c_c978	ComuneDiCopertino	1	-	1.1
c_c995	ComuneCoregliaLigure	1	-	1.1
c_d006	comunedicoriglianodotranto	1	-	1.1
c_d044	comunedicorsano	1	-	1.1
c_d094	ComuneCossato	1	Si	1.1
c_d095	ComuneCosseria	1	-	1.1
c_d223	comunedicursi	1	-	1.1
c_d255	ComuneDavagna	1	-	1.1
c_d383	ComuneDuinoAurisina	1	-	1.1
c_d455	ComuneFaedis	1	-	1.1
c_d630	ComuneFlaibano	1	-	1.1
c_d862	ComuneDiGalatina	1	-	1.1
c_d863	ComuneDiGalatone	1	-	1.1
c_d969	ComuneGenova	1	-	1.1
c_e038	comunedigioiadelcolle	1	-	1.1
c_e047	comunedigiovinazzo	1	-	1.1
c_e083	ComuneGonars	1	-	1.1
c_e098	ComuneGorizia	1	-	1.1
c_e109	ComuneGorreto	1	-	1.1
c_e124	ComuneGradiscadIsonzo	1	-	1.1
c_e227	ComuneDiGuagnano	1	-	1.1
c_e409	ComuneDiLagonegro	1	-	1.1
c_e463	ComuneLaSpezia	1	-	1.1
c_e476	ComuneLauco	1	-	1.1
c_e483	ComuneDiLauria	1	-	1.1
c_e488	ComuneLavagna	1	-	1.1
c_e502	ComuneDiLecce	1	-	1.1
c_e538	ComuneDiLequile	1	-	1.1
c_e563	ComuneDiLeverano	1	-	1.1
c_e737	ComuneLumarzo	1	-	1.1
