cod_amm	prg_srv_amm	nome_srv	des_srv	tel_srv	uri_srv	mail_srv	tipo_mail
093	1	Albo pretorio telematico	Albo pretorio telematico		http://albopretorio.regione.fvg.it/AAS5		altro
093	2	Pagamenti online	Pagamenti online		https://pagamentionline.regione.fvg.it/PagamentoVolontarioSanita/Login.jsp		altro
093	3	Prenotazioni e tempi di attesa online	Prenotazioni e tempi di attesa online		https://servizionline.sanita.fvg.it/prenotazioni		altro
093	4	Referti online	Referti online		https://refertionline.sanita.fvg.it/SERVIZIFVG_RefertiOnLine/cercaRichiesta		altro
093	5	Situazione pazienti nei Pronto Soccorso	Situazione pazienti nei Pronto Soccorso		https://servizionline.sanita.fvg.it/psonline		altro
aacstpoz	1	UFFICIO RAGIONERIA	CONTABILITA' GENERALE	0815261481	WWW.INFOCAMPIFLEGREI.IT	caterinaborrone@infocampiflegrei.it	altro
abam_043	1	ACCADEMIA DI BELLE ARTI	ISTITUZIONE AFAM - MIUR	0733405111	WWW.ABAMC.IT	ABAMC@PEC.IT	pec
abdas	1	Fatturazione elettronica 001	Fatturazione elettronica		www.appenninosettentrionale.it	adbarno@postacert.toscana.it	pec
abdas	2	Fatturazione elettronica 002	Fatturazione elettronica		www.appenninosettentrionale.it	bacinoserchio@postacert.toscana.it	pec
abfitlpb	1	FATTURAZIONE ELETTRONICA	IL SERVIZIO CONSENTE LA RICEZIONE DELLA FATTURAZIONE ELETTRONICA	0413194203	null	adbve.amministrazione@legalmail.it	pec
abl_097	1	Servizio Amministrativo/Contabile	Segreteria/Affari generali - Gestione personale/contratti/contenzioso - Programmazione e gestione/bilancio - Economato/Patrimonio - U.R.P./Protocollo		http://212.78.2.155/consorziolario/zf/index.php/servizi-aggiuntivi/index/index/idservizio/20014#18	segreteria@autoritabacinolario.it	altro
abl_097	2	Servizio Tecnico/Concessioni	Ufficio concessioni demaniali (aree, boe, posti barca, manifestazioni nautiche) - Ufficio registri e scuole nautiche - C.E.D. (Centro Elaborazione Dati)		http://212.78.2.155/consorziolario/zf/index.php/servizi-aggiuntivi/index/index/idservizio/20021#20	ufficiotecnico@autoritabacinolario.it	altro
abl_097	3	Servizio Tecnico Lavori Pubblici	Pianificazione triennale di opere pubbliche, progettazione, realizzazione e controllo delle stesse.		http://www.autoritabacinolario.it/zf/index.php/servizi-aggiuntivi/index/index/idtesto/36	lavoripubblici@autoritabacinolario.it	altro
abnfa_tn	1	Piano di Gestione del Distretto Idrografico delle Alpi Orientali	Il servizio fornisce informazioni relative alle documentazioni e cartografie riguardanti il Piano di Gestione del Distretto delle Alpi Orientali	0461236000	http://www.alpiorientali.it	consultazione@alpiorientali.it	altro
abnfa_tn	2	Piano Stralcio per la tutela dal Rischio Idrogeologico (Bacino dell'Adige, Regione Veneto)	Il servizio fornisce informazioni relative alle documentazioni e cartografie riguardanti il Piano Stralcio per la tutela dal Rischio Idrogeologico del bacino dell'Adige nel territorio della Regione del Veneto	0461236000	http://www.bacino-adige.it	adb.adige@legalmail.it	pec
abnfa_tn	3	Pareri ex D.Lgs 152/2006	Il servizio fornisce pareri relativamente all'iter amministrativo riguardante la concessione di acque pubbliche ex D.Lgs. 152/2006 	0461236000		adb.adige@legalmail.it	pec
abnfa_tn	4	Studi e documentazione	Il servizio fornisce informazioni sul repertorio cartografico e sugli studi relativi alle attivita' istituzionali effettuati dall'ente	0461236000		adb.adige@legalmail.it	pec
abnfa_tn	5	Servizi WebGIS	Il servizio fornisce informazioni su piattaforma web relativi al repertorio cartografico a supporto delle attivita' istituzionali di pianificazione dell'ente	0461236000	http://www.bacino-adige.it/	adb.adige@legalmail.it	pec
abnfa_tn	6	Sistema Cartografico e Informatizzato Online	Il servizio permette la condivisione di una banca dati su piattaforma web dove trovare e consultare per esteso tutti i lavori riferiti al territorio d'interesse dell'Autorita' di Bacino del fiume Adige	0461236000	http://www.museocivico.rovereto.tn.it/bibliografia_search.jsp?ID_LINK=111670&area=64	adb.adige@legalmail.it	pec
abnfa_tn	7	Piano di Gestione del rischio di alluvioni del Distretto Idrografico delle Alpi Orientali	Il servizio fornisce informazioni relative alle documentazioni e cartografie riguardanti il Piano di Gestione del rischio di alluvioni del Distretto delle Alpi Orientali	0461236000	http://www.alpiorientali.it	alpiorientali@legalmail.it	pec
abnfa_tn	8	Fatturazione elettronica	Il servizio consente la ricezione della fatturazione elettronica	0461236000	null	fatturaelettronica.adige@legalmail.it	pec
abspa	1	Settore Complesso Distribuzione	Settore Complesso Distribuzione		www.abbanoa.it	settore.distribuzione@pec.abbanoa.it	pec
abspa	2	Settore Gestione attiva perdite	Settore Gestione attiva perdite		www.abbanoa.it	gap@pec.abbanoa.it	pec
abspa	3	Sistema Qualificazione operatori economici (OE)	Sistema Qualificazione operatori economici (OE)		www.abbanoa.it	sistemadiqualifica@pec.abbanoa.it	pec
