cod_amm	cod_ou	cod_uni_ou	des_ou	regione	provincia	comune	indirizzo	cap	cf	dt_verifica_cf	data_avvio_nso
056	AG	IYFJAD	AFFARI GENERALI	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	AVP	0UGNJI	PGOA	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	D1	JQI0HQ	DISTRETTO 1 MONTEFIASCONE	Lazio	VT	Montefiascone	VIA DANTE ALIGHIERI 100	01027	01455570562	2020-01-24	2020-01-24
056	D2	JX7U1H	DISTRETTO 2 TARQUINIA	Lazio	VT	Tarquinia	VIA IGEA 1	01016	01455570562	2020-01-24	2020-01-24
056	D3	14A8DQ	DISTRETTO 3 VITERBO	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	D4	OBV4OV	DISTRETTO 4 VETRALLA	Lazio	VT	Vetralla	LOC. CAPANNACCE STR. CASSIA KM 63	01019	01455570562	2020-01-24	2020-01-24
056	D5	HA6DMU	DISTRETTO 5 CIVITA CASTELLANA	Lazio	VT	Civita Castellana	VIA XXV APRILE 17	01033	01455570562	2020-01-24	2020-01-24
056	DSA	NOSWF6	DISABILE ADULTO	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	DSM	CBGMYH	DIPARTIMENTO DI SALUTE MENTALE	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	ECO	098RCT	BENI NON SANITARI	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	FA	AAQKCE	FARMACIA AZIENDALE	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	FE	MZXC7Y	FONDO ECONOMALE	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	FOR	5PU4GV	FORMAZIONE	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	ICL	WKZT5L	INGEGNERIA CLINICA	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	INF	5MWKTV	INFORMATICA	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	LAB	C4YMW6	LABORATORI	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	NPI	U48Z7R	NEUROPSICHIATRIA INFANTILE	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	PAT	YT8M9C	BENI PATRIMONIALI	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	PRO	8G3AH3	PROTESICA	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	RU	K144PX	RISORSE UMANE	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	SED	J0MCE7	SERD	Lazio	VT	Viterbo	VIALE ROMITI 86	01100	01455570562	2020-01-24	2020-01-24
056	SER	BVMWWJ	SERVIZI	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
