cod_ou	cod_amm	prg_srv_ou	nome_srv	des_srv	tel_srv	uri_srv	mail_srv	tipo_mail
00-1OS	c_h822	1	UFFICIO RAGIONERIA	SETTORE SERVIZI FINANZIARI	0831631200		cataldo.lolli@sandonaci.net	altro
00-1OS	c_h822	2	UFFICIO TRIBUTI	SETTORE SERVIZI FINANZIARI	0831631200		tributi@sandonaci.net	altro
00-1V1	c_c424	1	AFFARI GENERAL	AFFARI GENERAL	0831387211		area.finanziaria@pec.comune.ceglie-messapica.br.it	pec
00-1V1	c_c424	2	RAGIONERIA E BILANCIO	RAGIONERIA E BILANCIO	0831387260		area.finanziaria@pec.comune.ceglie-messapica.br.it	pec
00-1V1	c_c424	3	TRIBUTI	TRIBUTI	0831387211		area.finanziaria@pec.comune.ceglie-messapica.br.it	pec
00-1V1	c_c424	4	RISORSE UMANE	RISORSE UMANE	0831387229		area.finanziaria@pec.comune.ceglie-messapica.br.it	pec
00-1V1	c_c424	5	CONTENZIOSO	CONTENZIOSO	0831387207		avvocato@pec.comune.ceglie-messapica.br.it	pec
00-1V1	c_c424	6	CONTENZIOSO	CONTENZIOSO	0831387207		avvocato@pec.comune.ceglie-messapica.br.it	pec
00-2OT	c_d346	1	comune di dorio	servizi generici			antonella.girardi@comune.dorio.lc.it	altro
00-2YQ	c_f295	1	piattaforme per la certificazione dei crediti	certificazione crediti	0975668506	UFFICIO TECNICO	MOLITERMO.UTC@TISCALI.IT	altro
00-8EP	c_h885	1	SERVIZIO FINANZIARIO	SERVIZIO FINANZIARIO		www.comune.sangiorgiodilomellina.pv.it	finanziario@comune.sangiorgiodilomellina.pv.it	altro
00-B5D	istsc_naic8a400v	1	Adelaide Ristori	Istituto Comprensivo Statale	0815546902	Napoli	naic8a400v@istruzione.it	altro
00000001	c_d984	1	segreteria	Tutte le attivita di segreteria comunale	0323866836	www.comune.germagno.vb.it	comune.germagno@legalmail.it	pec
00020	aoup_082	1	COLLEGIO DI DIREZIONE	FUNZIONI VARIE DI SUPPORTO ALL'ORGANO VOLITIVO AZIENDALE				altro
00020	aoup_082	2	COLLEGIO SINDACALE	FUNZIONI DI CUI ALL'ART. 3-ter D. LGS. N. 502/92				altro
00020	aoup_082	3	O.I.V.	ORGANO INDIPENDENTE DI VALUTAZIONE				altro
00020	aoup_082	4	STRUTTURA TECNICA PERMANENTE	ATTIVITA' DI SUPPORTO ORGANO VOLITIVO				altro
00080	aoup_082	1	U.O.S. STATO GIURIDICO	ASSUNZIONI, CARRIERE, QUIESCENZA				altro
00080	aoup_082	2	U.O.S. TRATTAMENTO ECONOMICO	STIPENDI E ACCESSORI				altro
001	c_a116	1	UFFICIO DEMOGRAFICO	Gestione servizi demografici, elettorali e statistici	0464678705	http://www.comune.ala.tn.it/	demografico@pec.comune.ala.tn.it	pec
001	c_h307	1	Sportello unico digitale per l'edilizia	Sportello unico digitale per l'edilizia art. 5 del D.P.R. 380/01	0972729202	http://www.suderionero.paesit.it/sudeRionero/	sude.rioneroinvulture@asmepec.it	pec
001	c_f974	1	SERVIZI SOCIO-ASSISTENZIALI	SERVIZI SOCIO ASSISTENZIALI	078369026	www.comunenughedusv.it	giuseppina.caddeo@comunenughedusv.it	altro
001	c_g546	1	SEGRETERIA E CONTRATTI	SEGRETERIA E CONTRATTI	0364593810	www.comune.piancamuno.bs.it	protocollo@pec.comune.piancamuno.bs.it	pec
001	c_a535	1	Affari Generali e Sorveglianza Sanitaria	Affari Generali e Sorveglianza Sanitaria	0818553240	www.comune.bacoli.na.it	servizio.organistituzionali@pec.comune.bacoli.na.it	pec
001	c_a519	1	Servizi demografici	Anagrafe e stato civile, Ufficio elettorale, Leva, Statistica, Toponomastica	0971701827		ufficio.anagrafe@cert.comune.avigliano.pz.it	pec
001	c_b603	1	Servizio Elettorale	Emissione certificati elettorali, iscrizioni albi vari (Giudici popolari, scrutatori, etc)	0931540211	www.comunedicanicattinibagni.it	anagrafe@comune.canicattinibagni.sr.it	altro
001	c_a053	1	Ufficio Ragioneria	Ufficio Ragioneria	0984921406		ragioneria@comuneacri.gov.it	altro
001	gsu_tv	1	SEGRETERIA - UFFICIO INFORMAZIONI AL PUBBLICO	Segreteria del Sindaco, degli Assessori, dei Consiglieri Comunali e del Segretario. Gestione atti deliberativi,  rappresentanza, tenuta del repertorio con registrazione e trascrizione contratti e atti unilaterali. Raccolta delibere, convenzioni e scritture private, regolamenti comunali, ordinanze sindacali, archivio comunale. Concessioni utilizzo aula magna Luca Ballarin presso la Scuola Media di Pianzano.	0438430140		segreteria@comunegodega.tv.it	altro
001	c_l498	1	Servizio segreteria	Segreteria, contratti, personale (gestione giuridica) e servizi cimiteriali	0722313175	http://www.comune.urbania.ps.it/uffici-e-servizi/1-settore-affari-generali-ed-istituzionali/ufficio-segreteria-appalti-personale/	contratti@comune.urbania.ps.it	altro
001	c_d548	1	Servizi Amministrativi	Educativi - Scolastici - Per le Famiglie		null	istituzione@cert.comune.fe.it	pec
001	gsu_tv	2	PROTOCOLLO	Tenuta del protocollo di tutti gli atti pervenuti al Comune e rilascio di eventuali ricevute di presentazione	0438430140		segreteria@comunegodega.tv.it	altro
001	c_a535	2	Organi Istituzionali	Organi Istituzionali	0818553238	www.comune.bacoli.na.it	servizio.organistituzionali@pec.comune.bacoli.na.it	pec
001	c_l498	2	Servizio polizia locale	Servizio gestito dall'Unione montana Alta Valle del Metauro	0722318052	http://www.unionemontana.altavalledelmetauro.pu.it/uffici/polizia-locale-associata/	polizialocale@cm-urbania.ps.it	altro
001	c_g546	2	SERVIZI DEMOGRAFICI ED ELETTORALE	SERVIZI DEMOGRAFICI ED ELETTORALE	0364593840	www.comune.piancamuno.bs.it	demografici.comune.piancamuno@pec.regione.lombardia.it	pec
001	c_b603	2	Servizio Anagrafe	Rilascio carte d'identita', certificati vari, etc	0931540212	www.comunedicanicattinibagni.it	anagrafe@comune.canicattinibagni.sr.it	altro
001	c_g546	3	PERSONALE	PERSONALE	0364593810	www.comune.piancamuno.bs.it	protocollo@pec.comune.piancamuno.bs.it	pec
001	c_b603	3	Stato Civile	Certificato di nascita, stato civile, residenza, pubblicazioni matrimonio, etc	0931540211	www.comunedicanicattinibagni.it	statocivile@comune.canicattinibagni.sr.it	altro
001	gsu_tv	3	ATTIVITA' FIERISTICHE	Attivita' fieristiche come ANTICA FIERA di Godega, convegni e manifestazioni collegate quali CALICI E SAPORI IN VILLA ecc.	0438430160		fiera@comunegodega.tv.it	altro
001	c_a535	3	Comunicazione Istituzionale e Sito Web - Trasparenza	Comunicazione Istituzionale e Sito Web - Trasparenza	0818553238	www.comune.bacoli.na.it	servizio.organistituzionali@pec.comune.bacoli.na.it	pec
001	c_g546	4	Polizia Locale	Servizio Polizia Locale	0364593851	www.comune.piancamuno.bs.it	uff.polizialocale@comune.piancamuno.bs.it	altro
001	c_a535	4	Organizzazione e Gestione Giuridica del Personale - Relazioni Sindacali	Organizzazione e Gestione Giuridica del Personale - Relazioni Sindacali	0818553240	www.comune.bacoli.na.it	settore.risorseumane@pec.comune.bacoli.na.it	pec
001	gsu_tv	4	MERCATINI	Gestione e organizzazione del Mercatino dell'antiquariato: rilascio autorizzazioni - ricezione richieste di partecipazione commercianti,  precari e hobbisti - controllo numero presenze obblicatorie dei commercianti - migliorie posteggio - attivita' di controllo sulle licenze. Nelle domeniche del mercatino organizzazione, gestione e assistenza.	0438433010		andrea.schilzer@comunegodega.tv.it	altro
001	c_b603	4	Ufficio Contratti	Redazione contratti dell'Ente	0931540234	www.comunedicanicattinibagni.it	ufficiocontratti@comune.canicattinibagni.sr.it	altro
001	gsu_tv	5	SERVIZI SOCIO-ASSISTENZIALI	L'assistente sociale comunale opera a favore di singoli, gruppi e comunita' in stato di bisogno attuando specifici progetti d'intervento attravero un'analisi dei problemi e delle risorse si personali sia territoriali. Erogazione contributi economici agli indigenti, assistenza minori e adulti, assistenza domiciliare ecc.	0438433008		assistenza.sociale@comunegodega.tv.it	altro
001	c_a535	5	Protocollo Informatico e Gestione dei Flussi Documentali - CAD	Protocollo Informatico e Gestione dei Flussi Documentali	0818553218	www.comune.bacoli.na.it	ufficioprotocollo@pec.comune.bacoli.na.it	pec
001	c_a535	6	Beni Confiscati	Beni Confiscati	0818553240	www.comune.bacoli.na.it	servizio.organistituzionali@pec.comune.bacoli.na.it	pec
002	c_l498	1	Servizi demografici	Ufficio statistica, censimenti, leva, elettorale, anagrafe, stato civile, protocollo e URP	0722313141	http://www.comune.urbania.ps.it/uffici-e-servizi/2-settore-servizi-demografici-sociali/anagrafe-stato-civile-elettorale/	serv.demografici@comune.urbania.ps.it	altro
